mH,mA,mHc,sinba,cba,m12,tb
959.996,908.642,1003.99,0.999575,0.0291554,,9.28147
717.125,983.176,1001.77,0.998636,0.0522078,,9.28213
837.295,887.965,761.768,0.999134,0.0416067,,9.28230999999999
686.115,627.087,687.005,0.975095,0.22179,,9.28397000000001
750.194,701.4,648.824,0.974656,0.22371,,9.28555
677.764,619.04,691.824,0.974887,0.222701,,9.28769
794.588,879.366,745.936,0.999277,0.0380214,,9.28822
734.971,708.33,768.443,0.974329,0.225127,,9.29068
767.979,995.203,1004.98,0.999334,0.036502,,9.2925
784.027,859.71,745.388,0.999343,0.0362527,,9.29343
801.243,892.751,777.504,0.999815,0.0192318,,9.29935
768.336,983.786,1004.67,0.999649,0.0265071,,9.30047
799.39,881.763,736.742,0.999255,0.0385867,,9.30051000000001
940.47,991.871,1015.18,0.998323,0.0578974,,9.30214
828.836,889.343,761.458,0.99928,0.0379328,,9.30305
638.566,990.122,1007.32,0.999352,0.035994,,9.30923
747.195,988.121,1009.14,0.999138,0.0415069,,9.31002
735.906,719.171,784.945,0.975514,0.219939,,9.31081999999999
686.122,871.105,667.79,0.977935,0.20891,,9.31203
799.521,878.041,732.343,0.999193,0.0401781,,9.3121
633.938,790.021,618.646,0.998547,0.0538927,,9.31567
824.219,889.512,759.271,0.998468,0.0553386,,9.31823999999999
952.986,962.371,1015.34,0.999634,0.0270498,,9.32062
824.095,875.988,785.166,0.99923,0.039227,,9.32088
634.105,775.489,655.846,0.999015,0.0443698,,9.33153
720.655,985.004,1004.72,0.99959,0.0286373,,9.3341
958.305,902.153,1000.57,0.999363,0.0356781,,9.3369
741.678,993.227,1014.26,0.998018,0.0629253,,9.33722
772.94,982.115,1000.26,0.999419,0.0340744,,9.3376
683.48,627.344,682.103,0.975792,0.218702,,9.33766
985.961,958.684,1027.25,0.999261,0.0384265,,9.33957
681.833,633.339,681.147,0.976055,0.217525,,9.33994
768.662,993.391,1015.07,0.999375,0.0353421,,9.33999
903.902,846.513,803.737,0.99851,0.0545615,,9.34191
669.96,986.201,1001.94,0.998971,0.0453437,,9.34245
742.841,553.856,591.663,0.977167,0.212473,,9.34477000000001
748.886,986.18,1003.78,0.998906,0.0467563,,9.34499
832.209,866.36,767.946,0.999393,0.0348312,,9.34529999999999
639.899,795.858,578.696,0.998828,0.0484008,,9.34591
700.614,776.705,619.59,0.999415,0.0341932,,9.34731
740.345,990.661,1002.09,0.999124,0.0418437,,9.34791
836.667,737.2,726.009,0.980104,0.198483,,9.34806
681.321,779.016,606.388,0.998879,0.0473404,,9.34827000000001
672.084,995.656,1011.11,0.998136,0.0610363,,9.34951
691.215,990.022,1007.96,0.998102,0.0615792,,9.35085
987.119,958.166,1012.13,0.999687,0.024999,,9.35386
796.146,997.333,1012.18,0.998157,0.0606893,,9.35388
679.128,871.077,673.033,0.9771,0.212779,,9.35525
674.508,830.626,695.38,0.9998,0.0199748,,9.35557000000001
634.259,791.753,649.833,0.998129,0.0611379,,9.35710000000001
800.423,850.277,730.164,0.999564,0.0295273,,9.35845
797.333,889.966,782.487,0.999779,0.0210313,,9.36353000000001
799.745,979.138,1011.03,0.999271,0.0381753,,9.36511
748.097,401.811,728.242,0.976164,0.217032,,9.367
661.444,769.396,638.766,0.998949,0.045829,,9.3678
794.57,984.101,1005.18,0.998951,0.0457835,,9.36904
769.972,732.159,809.284,0.974321,0.225164,,9.37534000000001
922.827,920.615,1001.89,0.999112,0.0421218,,9.37753
797.602,850.932,735.157,0.99948,0.0322427,,9.37823999999999
