Z7,mH,mHc,mA,sinba,cba,m12,tb,Z4,Z5,l1,l2,l3,l4,l5,l6,l7,alpha,beta,kappa1tt,kappa1bb,g_HpHmh,Gamma_h,Gamma_H,Gamma_Hc,Gamma_A,br_h_bb,br_h_tautau,br_h_gg,br_h_WW,br_h_ZZ,br_h_gaga,br_A_tt,br_A_bb,br_A_gg,br_A_mumu,br_A_tautau,br_A_Zga,br_A_Zh,br_A_ZH,br_A_gaga,br_H_tt,br_H_bb,br_H_gg,br_H_mumu,br_H_tautau,br_H_Zga,br_H_Zh,br_H_WW,br_H_ZZ,br_H_ZA,br_H_AA,br_H_hh,br_H_gaga,br_Hp_tb,br_Hp_taunu,br_Hp_Wh,br_Hp_WH,br_Hp_WA,X_sect_bg_tot,X_sect_bg_h,X_sect_bg_H,X_sect_bg_A,X_sect_bq_tot,X_sect_bq_h,X_sect_bq_H,X_sect_bq_A,X_sect_qq_tot,X_sect_qq_h,X_sect_qq_H,X_sect_qq_A
0.0958646,878.719,231.39,826.819,0.999499,0.0316577,55260.5,7.86014,-9.89427,10.8923,0.133973,0.358784,25.0893,-9.03027,11.7563,3.11E-15,-2.66E-15,0.154689585373578,1.44427106742249,0.996021,-1.22099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0116233904466,0.0115678273,4.47E-05,1.02E-05,0.034420570599,0.03371881,4.51E-05,1.02E-05,0.0028016009,0.00234013453,0.0003064927,0.0001535044
4.03676,862.054,415.588,761.859,0.916742,0.39948,124704,5.03436,-6.13161,7.31889,3.16387,0.470743,21.4007,-4.35617,9.09434,3.11E-15,-3.33E-15,0.234502180347645,1.37476448059818,0.991623,-1.19294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13882212512,0.0114169578,2.12E-05,6.16E-06,0.031290226592,0.03435678,0.00063150614,6.16E-06,0.00334292877,0.00276047,0.00016611021,0.0004136498999999
3.14352,768.931,552.475,585.005,0.940525,0.339726,32932.2,8.33364,2.26867,3.48938,1.07734,0.710907,21.1365,3.03931,4.26002,3.11E-15,-3.64E-15,0.248558748830846,1.45138367617138,0.97622,-2.06505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117427360418,0.0110307946,0.0030845615124,2.06E-05,0.03242636579,0.0334116999999999,0.00116531443,2.06E-05,0.003649051,0.002571497,0.0005691991,0.000502343
3.67381,821.961,567.031,630.169,0.999435,0.0336196,47761.6,6.50406,1.78701,4.2807,1.5543,0.617663,18.7997,2.96596,5.45965,3.11E-15,-3.22E-15,0.235716506455388,1.41827082928298,0.983768,-1.53711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0117471606558,0.0108442194,7.56E-05,0.0045857824895,0.034361022026,0.03431605,6.05E-05,0.0045857824895,0.0032266964,0.0023420414999999,0.0004650096,0.0004117213
3.38583,764.66,571.776,634.127,0.99912,0.0419431233934716,167160,5.24862,-0.206136,2.27434,3.13004,0.72544,18.1037,1.22003,3.7005,3.11E-15,-2.72E-15,0.288615219493906,1.38252859583261,0.975883,-1.52078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0126992061392,,8.39E-06,6.31E-05,,2.69E-05,0.00100535303,,,0.002437145,0.00022428952,0.00048234
3.11488,792.49,571.469,596.493,0.939026,0.343846,78371.7,6.27798,2.51724,3.48141,3.59532,0.580023,16.5811,3.61194,4.57612,3.11E-15,-3.55E-15,0.236401809498423,1.41283643788993,0.984443,-1.48887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0995400401772,,2.69E-05,1.10E-05,0.03122057051,0.03432428,0.00066024616,1.10E-05,0.00332681771,0.002604514,0.00017657554,0.00046351
2.99526,797.226,579.906,611.79,0.999914,0.0131145950757186,117862,6.18976,2.13165,3.38515,4.87193,0.595523,17.3046,3.23695,4.49045,3.11E-15,-3.11E-15,0.239949883864485,1.41064095393082,0.983942,-1.49025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38E-06,3.65E-05,0.031217083072,3.55E-05,0.00065916262,,,0.00233147458,0.00019617801,0.0004714959
3.73952,836.829,496.355,705.123,-0.999977,0.0067822909846151,120043,5.32781,-2.49561,5.77927,2.08572,0.39395,17.9667,-0.980954,7.29392,3.11E-15,-3.39E-15,0.213912097437301,1.38526604873127,0.994271,-1.1508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0258878679559,,8.88E-06,0.08244897425,,4.27E-05,0.00059811766,,,0.00233519706,0.00015196194,0.000545826
-0.0558362,785.583,549.285,631.162,0.999147,0.0412987,53115.7,5.92449,0.557582,3.7461,1.55889,0.495686,16.4357,1.74743,4.93594,2.66E-15,-2.50E-15,0.226047375810568,1.40359483777663,0.988343,-1.34673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0121990480191,0.135429993,5.83E-05,3.16E-05,0.034383699894,0.03299162,6.25E-05,3.16E-05,0.0032501203,0.0023501536,0.0004731811,0.0004180265
3.46214,756.514,624.626,605.148,0.947618,0.319406,99578.9,7.08785,2.23896,1.44875,0.696591,0.822535,21.0693,3.23292,2.4427,2.66E-15,-2.58E-15,0.284130922856286,1.43067550714587,0.969406,-2.00715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.090006920377,0.121667454,1.68E-05,9.60E-06,0.032068662225,0.03098853,0.000380702985,9.60E-06,0.002933020043,0.002522627,0.000145054127,0.0002688706
4.345,794.985,195.642,627.887,0.934633,0.355614,113797,5.55039,-4.52553,7.21775,1.62909,1.18831,22.2677,-2.8938,8.84948,2.66E-15,-1.78E-15,0.349278815920098,1.39261843954204,0.954735,-1.93087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10636794872,0.106337269,1.87E-05,7.31E-06,0.031885809732,0.0331959999999999,0.00051907458,7.31E-06,0.00295938205,0.002568585,0.00015572048,0.000232526
2.66058,789.68,600,582.359,0.959152,0.282892,59885.5,10.0487,4.23356,3.54546,1.12715,0.513726,19.8128,4.77447,4.08636,2.66E-15,-2.22E-15,0.18761833438294,1.47160753868303,0.987304,-1.88356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104665110587,0.104600039,2.71E-05,1.86E-05,0.03271439182,0.03385626,0.00039400154,1.86E-05,0.00366526939,0.002654878,0.00030389077,0.0007142771
2.47541,782.64,341.648,728.467,0.940237,0.340521,69109,7.29156,-6.52777,7.12807,3.36883,0.459815,21.6597,-5.73301,7.92284,2.66E-15,-2.33E-15,0.196419629847219,1.43451907949609,0.98995,-1.43651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102826364076,0.102784092,3.26E-05,0.0056068134939,0.031978622777,0.03430774,0.00064373314,0.0056068134939,0.00295164449,0.002531789,0.0002371505,0.00018728915
