      -100           0          10          20          30          40          50          60          70          80          90         100
      900.00     0.014409    0.015290    0.016287    0.017284    0.018281    0.019277    0.020274    0.021271    0.022268    0.023265    0.024261
      910.00     0.014872    0.015675    0.016593    0.017511    0.018429    0.019347    0.020265    0.021183    0.022101    0.023019    0.023937
      920.00     0.015335    0.016059    0.016898    0.017738    0.018577    0.019416    0.020255    0.021094    0.021933    0.022773    0.023612
      930.00     0.015798    0.016444    0.017204    0.017964    0.018725    0.019485    0.020245    0.021006    0.021766    0.022527    0.023287
      940.00     0.016260    0.016828    0.017510    0.018191    0.018873    0.019554    0.020236    0.020917    0.021599    0.022281    0.022962
      950.00     0.016723    0.017212    0.017815    0.018418    0.019021    0.019624    0.020226    0.020829    0.021432    0.022035    0.022637
      960.00     0.017186    0.017597    0.018121    0.018645    0.019169    0.019693    0.020217    0.020741    0.021265    0.021789    0.022313
      970.00     0.017648    0.017981    0.018426    0.018872    0.019317    0.019762    0.020207    0.020652    0.021097    0.021543    0.021988
      980.00     0.018111    0.018366    0.018732    0.019098    0.019465    0.019831    0.020198    0.020564    0.020930    0.021297    0.021663
      990.00     0.018574    0.018750    0.019038    0.019325    0.019613    0.019900    0.020188    0.020476    0.020763    0.021051    0.021338
     1000.00     0.019036    0.019135    0.019343    0.019552    0.019761    0.019970    0.020178    0.020387    0.020596    0.020805    0.021013
     1010.00     0.018751    0.018854    0.019058    0.019262    0.019467    0.019671    0.019875    0.020079    0.020283    0.020487    0.020691
     1020.00     0.018466    0.018574    0.018773    0.018973    0.019172    0.019372    0.019571    0.019771    0.019970    0.020170    0.020369
     1030.00     0.018181    0.018294    0.018488    0.018683    0.018878    0.019073    0.019268    0.019462    0.019657    0.019852    0.020047
     1040.00     0.017895    0.018013    0.018203    0.018394    0.018584    0.018774    0.018964    0.019154    0.019344    0.019534    0.019725
     1050.00     0.017610    0.017733    0.017918    0.018104    0.018289    0.018475    0.018660    0.018846    0.019031    0.019217    0.019402
     1060.00     0.017325    0.017453    0.017633    0.017814    0.017995    0.018176    0.018357    0.018538    0.018719    0.018899    0.019080
     1070.00     0.017040    0.017172    0.017348    0.017525    0.017701    0.017877    0.018053    0.018229    0.018406    0.018582    0.018758
     1080.00     0.016754    0.016892    0.017063    0.017235    0.017407    0.017578    0.017750    0.017921    0.018093    0.018264    0.018436
     1090.00     0.016469    0.016612    0.016778    0.016945    0.017112    0.017279    0.017446    0.017613    0.017780    0.017947    0.018114
     1100.00     0.016184    0.016331    0.016493    0.016656    0.016818    0.016980    0.017142    0.017305    0.017467    0.017629    0.017791
     1110.00     0.015898    0.016051    0.016208    0.016366    0.016524    0.016681    0.016839    0.016996    0.017154    0.017312    0.017469
     1120.00     0.015613    0.015771    0.015923    0.016076    0.016229    0.016382    0.016535    0.016688    0.016841    0.016994    0.017147
     1130.00     0.015328    0.015490    0.015639    0.015787    0.015935    0.016083    0.016232    0.016380    0.016528    0.016677    0.016825
     1140.00     0.015043    0.015210    0.015354    0.015497    0.015641    0.015784    0.015928    0.016072    0.016215    0.016359    0.016503
     1150.00     0.014757    0.014930    0.015069    0.015208    0.015347    0.015486    0.015624    0.015763    0.015902    0.016041    0.016180
     1160.00     0.014472    0.014649    0.014784    0.014918    0.015052    0.015187    0.015321    0.015455    0.015590    0.015724    0.015858
     1170.00     0.014187    0.014369    0.014499    0.014628    0.014758    0.014888    0.015017    0.015147    0.015277    0.015406    0.015536
