   MHSM          GG     GAM GAM     Z GAM         WW         ZZ       WIDTH
_______________________________________________________________________________
NaNs replaced with -1 (not all fortran compilers can currently read in NaNs)
 8.90000     0.2304     0.5166E-04  0.000     0.2920E-08 0.9796E-09 0.4088E-04
 9.00000     0.2335     0.5246E-04  0.000     0.3108E-08 0.1043E-08 0.4154E-04
 9.10000     0.2368     0.5322E-04  0.000     0.3305E-08 0.1109E-08 0.4221E-04
 9.20000     0.2402     0.5394E-04  0.000     0.3511E-08 0.1178E-08 0.4290E-04
 9.30000     0.2439     0.5461E-04  0.000     0.3727E-08 0.1250E-08 0.4360E-04
 9.40000     0.2478     0.5521E-04  0.000     0.3951E-08 0.1325E-08 0.4432E-04
 9.50000     0.2521     0.5572E-04  0.000     0.4185E-08 0.1404E-08 0.4508E-04
 9.60000     0.2569     0.5609E-04  0.000     0.4426E-08 0.1485E-08 0.4587E-04
 9.70000     0.2576     0.5502E-04  0.000     0.4576E-08 0.1535E-08 0.4771E-04
 9.80000     0.2332     0.4871E-04  0.000     0.4253E-08 0.1426E-08 0.5517E-04
 9.90000     0.2118     0.4359E-04  0.000     0.3977E-08 0.1334E-08 0.6336E-04
 10.0000     0.1938     0.3953E-04  0.000     0.3758E-08 0.1260E-08 0.7195E-04
          10.10  0.1911680      0.3926000E-04   0.000000      0.2520000E-09  0.3954160E-07  0.7896000E-04
          10.20  0.1883360      0.3902000E-04   0.000000      0.5040000E-09  0.3878320E-07  0.8592000E-04
          10.30  0.1855040      0.3878000E-04   0.000000      0.7560000E-09  0.3802480E-07  0.9288000E-04
          10.40  0.1826720      0.3854000E-04   0.000000      0.1008000E-08  0.3726640E-07  0.9984000E-04
          10.50  0.1798400      0.3830000E-04   0.000000      0.1260000E-08  0.3650800E-07  0.1068000E-03
          10.60  0.1770080      0.3806000E-04   0.000000      0.1512000E-08  0.3574960E-07  0.1137600E-03
          10.70  0.1741760      0.3782000E-04   0.000000      0.1764000E-08  0.3499120E-07  0.1207200E-03
          10.80  0.1713440      0.3758000E-04   0.000000      0.2016000E-08  0.3423280E-07  0.1276800E-03
