mh   ctt_Z   cbb_Z   cvv_Z   ctv_Z   cbv_Z   ctb_Z
38  2.76823487e-05  1.18608688e-05  0.0  0  0  2.333256513e-06  4.1876474013e-05
39  2.76100583e-05  1.13916015e-05  0.0  0  0  2.300359417e-06  4.1302019217e-05
40  2.75282931e-05  1.09583817e-05  0.0  0  0  2.035777069e-06  4.0522451869e-05
41  2.74494878e-05  1.05466315e-05  0.0  0  0  9.62805122e-07  3.8958924422e-05
42  2.73570676e-05  1.01237909e-05  0.0  0  0  4.56269324e-07  3.7937127824e-05
43  2.73145429e-05  9.71288954e-06  0.0  0  0  2.828144571e-06  3.9855577011e-05
44  2.72463093e-05  9.37929666e-06  0.0  0  0  1.093342907e-06  3.7718948867e-05
45  2.708514e-05  9.02513091e-06  0.0  0  0  1.7039436e-06  3.781421451e-05
46  2.70399063e-05  8.67156074e-06  0.0  0  0  1.166558937e-06  3.6878025977e-05
47  2.69254331e-05  8.33909057e-06  0.0  0  0  3.404029669e-06  3.8668553339e-05
48  2.68738487e-05  8.059413e-06  0.0  0  0  4.41898513e-07  3.5375160213e-05
49  2.67444684e-05  7.76309424e-06  0.0  0  0  -1.629742684e-06  3.2877819956e-05
50  2.66805199e-05  7.4677367e-06  0.0  0  0  1.598080801e-06  3.5746337401e-05
51  2.65675345e-05  7.20047579e-06  0.0  0  0  1.071704655e-06  3.4839714945e-05
52  2.64671878e-05  6.94035306e-06  0.0  0  0  1.181623122e-06  3.4589163982e-05
53  2.64040294e-05  6.68987901e-06  0.0  0  0  1.382928706e-06  3.4476837116e-05
54  2.63163566e-05  6.46168479e-06  0.0  0  0  4.07111434e-07  3.3185152824e-05
55  2.61872087e-05  6.23107431e-06  0.0  0  0  2.221529913e-06  3.4639812923e-05
56  2.60983856e-05  6.01566994e-06  0.0  0  0  8.71446144e-07  3.2985501684e-05
57  2.59857482e-05  5.80374403e-06  0.0  0  0  9.62426518e-07  3.2751918748e-05
58  2.58762826e-05  5.61696427e-06  0.0  0  0  9.64103174e-07  3.2457350044e-05
59  2.58058605e-05  5.41171465e-06  0.0  0  0  1.722140395e-06  3.2939715545e-05
60  2.57370417e-05  5.22937822e-06  0.0  0  0  1.285340583e-06  3.2251760503e-05
61  2.56340892e-05  5.05074313e-06  0.0  0  0  1.574345108e-06  3.2259177438e-05
62  2.56102397e-05  4.88559867e-06  0.0  0  0  1.119956603e-06  3.1615794973e-05
63  2.54301775e-05  4.72352954e-06  0.0  0  0  1.341242225e-06  3.1494949265e-05
64  2.53172704e-05  4.56303872e-06  0.0  0  0  1.728791296e-06  3.1609100416e-05
65  2.52296731e-05  4.41829143e-06  0.0  0  0  6.86897269e-07  3.0334861799e-05
66  2.51212009e-05  4.26656741e-06  0.0  0  0  1.477447991e-06  3.0865216301e-05
67  2.50542671e-05  4.12812741e-06  0.0  0  0  1.394430329e-06  3.0576824839e-05
68  2.49354196e-05  3.99106941e-06  0.0  0  0  1.289366804e-06  3.0215855814e-05
69  2.48528513e-05  3.86746325e-06  0.0  0  0  6.00777487e-07  2.9321092037e-05
70  2.47021011e-05  3.73993979e-06  0.0  0  0  1.060893989e-06  2.9502934879e-05
71  2.46111402e-05  3.62119011e-06  0.0  0  0  1.390153598e-06  2.9622483908e-05
72  2.45229458e-05  3.50492514e-06  0.0  0  0  1.423639542e-06  2.9451510482e-05
73  2.44084791e-05  3.39371733e-06  0.0  0  0  1.179580209e-06  2.8981776639e-05
74  2.43291768e-05  3.28477835e-06  0.0  0  0  1.376115232e-06  2.8990070382e-05
75  2.41721309e-05  3.18432588e-06  0.0  0  0  9.45992691e-07  2.8302449471e-05
76  2.408607e-05  3.08904675e-06  0.0  0  0  6.631973e-07  2.783831405e-05
77  2.40151047e-05  2.99014827e-06  0.0  0  0  9.72410953e-07  2.7977663923e-05
78  2.3907639e-05  2.89543519e-06  0.0  0  0  1.50566461e-06  2.83087388e-05
79  2.37724161e-05  2.81270711e-06  0.0  0  0  8.88004839e-07  2.7473128049e-05
80  2.37097681e-05  2.72128659e-06  0.0  0  0  1.379232319e-06  2.7810287009e-05
81  2.35019438e-05  2.64242824e-06  0.0  0  0  9.05153562e-07  2.7049525602e-05
82  2.34620091e-05  2.56048995e-06  0.0  0  0  1.183109909e-06  2.7205608959e-05
83  2.33158109e-05  2.48727415e-06  0.0  0  0  9.55203891e-07  2.6758288941e-05
84  2.32303608e-05  2.40852944e-06  0.0  0  0  1.141052392e-06  2.6779942632e-05
85  2.31632251e-05  2.33904618e-06  0.0  0  0  8.57951749e-07  2.6360223029e-05
86  2.30658686e-05  2.26957734e-06  0.0  0  0  9.98348314e-07  2.6333794254e-05
87  2.2956217e-05  2.20269783e-06  0.0  0  0  9.3764683e-07  2.609656166e-05
88  2.28471495e-05  2.13853158e-06  0.0  0  0  6.67360505e-07  2.5653041585e-05
89  2.26782351e-05  2.07471048e-06  0.0  0  0  8.89690649e-07  2.5642636229e-05
90  2.25605216e-05  2.01440842e-06  0.0  0  0  1.062623784e-06  2.5637553804e-05
91  2.25104208e-05  1.95716296e-06  0.0  0  0  7.16822792e-07  2.5184406552e-05
92  2.24242504e-05  1.90054797e-06  0.0  0  0  7.88266496e-07  2.5113064866e-05
93  2.2265439e-05  1.84508613e-06  0.0  0  0  7.5255861e-07  2.486308374e-05
94  2.21612116e-05  1.79266272e-06  0.0  0  0  8.06135884e-07  2.4760010204e-05
95  2.20354595e-05  1.74191048e-06  0.0  0  0  6.87357405e-07  2.4464727385e-05
96  2.19121896e-05  1.69237076e-06  0.0  0  0  8.68026104e-07  2.4472586464e-05
97  2.18442267e-05  1.64298189e-06  0.0  0  0  1.046751733e-06  2.4533960323e-05
98  2.17413927e-05  1.59773821e-06  0.0  0  0  7.19276073e-07  2.4058406983e-05
99  2.16080046e-05  1.55413135e-06  0.0  0  0  6.83355954e-07  2.3845491904e-05
100  2.15242008e-05  1.50941447e-06  0.0  0  0  8.06037992e-07  2.3839653262e-05
