# CMS, CMS-PAS-HIG-18-014, Sept 2018, Fig 6a
# 18014_CMS_pp-tbHpm-taunu_13TeV_35.9fb-1.txt
# Limit is set on sigma(pp->tbH^\pm) x BR(H^\pm -> tau nu) in pb.
# MHp	obs		exp

       1655.          0.6154E-02      0.3280E-02
       1660.          0.6137E-02      0.3268E-02
       1665.          0.6119E-02      0.3257E-02
       1670.          0.6101E-02      0.3245E-02
       1675.          0.6084E-02      0.3234E-02
       1680.          0.6066E-02      0.3222E-02
       1685.          0.6049E-02      0.3210E-02
       1690.          0.6031E-02      0.3199E-02
       1695.          0.6014E-02      0.3187E-02
       1700.          0.5996E-02      0.3175E-02
       1705.          0.5979E-02      0.3164E-02
       1710.          0.5961E-02      0.3152E-02
       1715.          0.5943E-02      0.3141E-02
       1720.          0.5926E-02      0.3129E-02
       1725.          0.5908E-02      0.3117E-02
       1730.          0.5891E-02      0.3106E-02
       1735.          0.5873E-02      0.3094E-02
       1740.          0.5856E-02      0.3083E-02
       1745.          0.5838E-02      0.3071E-02
       1750.          0.5821E-02      0.3059E-02
       1755.          0.5803E-02      0.3048E-02
       1760.          0.5786E-02      0.3036E-02
       1765.          0.5768E-02      0.3024E-02
       1770.          0.5750E-02      0.3013E-02
       1775.          0.5733E-02      0.3001E-02
       1780.          0.5715E-02      0.2990E-02
       1785.          0.5698E-02      0.2978E-02
       1790.          0.5680E-02      0.2966E-02
       1795.          0.5663E-02      0.2955E-02
       1800.          0.5645E-02      0.2943E-02
       1805.          0.5628E-02      0.2931E-02
       1810.          0.5610E-02      0.2920E-02
       1815.          0.5592E-02      0.2908E-02
       1820.          0.5575E-02      0.2897E-02
       1825.          0.5557E-02      0.2885E-02
       1830.          0.5540E-02      0.2873E-02
       1835.          0.5522E-02      0.2862E-02
       1840.          0.5505E-02      0.2850E-02
       1845.          0.5487E-02      0.2839E-02
       1850.          0.5470E-02      0.2827E-02
       1855.          0.5452E-02      0.2815E-02
       1860.          0.5435E-02      0.2804E-02
       1865.          0.5417E-02      0.2792E-02
       1870.          0.5399E-02      0.2780E-02
       1875.          0.5382E-02      0.2769E-02
       1880.          0.5364E-02      0.2757E-02
       1885.          0.5347E-02      0.2746E-02
       1890.          0.5329E-02      0.2734E-02
       1895.          0.5312E-02      0.2722E-02
       1900.          0.5294E-02      0.2711E-02
       1905.          0.5277E-02      0.2699E-02
       1910.          0.5259E-02      0.2687E-02
       1915.          0.5242E-02      0.2676E-02
       1920.          0.5224E-02      0.2664E-02
       1925.          0.5206E-02      0.2653E-02
       1930.          0.5189E-02      0.2641E-02
       1935.          0.5171E-02      0.2629E-02
       1940.          0.5154E-02      0.2618E-02
       1945.          0.5136E-02      0.2606E-02
       1950.          0.5119E-02      0.2595E-02
       1955.          0.5101E-02      0.2583E-02
       1960.          0.5084E-02      0.2571E-02
       1965.          0.5066E-02      0.2560E-02
       1970.          0.5048E-02      0.2548E-02
       1975.          0.5031E-02      0.2536E-02
       1980.          0.5013E-02      0.2525E-02
       1985.          0.4996E-02      0.2513E-02
       1990.          0.4978E-02      0.2502E-02
       1995.          0.4977E-02      0.2490E-02
       2000.          0.4976E-02      0.2478E-02
       2005.          0.4975E-02      0.2477E-02
       2010.          0.4974E-02      0.2476E-02
       2015.          0.4973E-02      0.2475E-02
       2020.          0.4972E-02      0.2474E-02
       2025.          0.4971E-02      0.2472E-02
       2030.          0.4970E-02      0.2471E-02
       2035.          0.4969E-02      0.2470E-02
       2040.          0.4968E-02      0.2469E-02
       2045.          0.4967E-02      0.2468E-02
       2050.          0.4966E-02      0.2466E-02
       2055.          0.4965E-02      0.2465E-02
       2060.          0.4964E-02      0.2464E-02
       2065.          0.4963E-02      0.2463E-02
       2070.          0.4962E-02      0.2462E-02
       2075.          0.4961E-02      0.2461E-02
       2080.          0.4960E-02      0.2459E-02
       2085.          0.4959E-02      0.2458E-02
       2090.          0.4958E-02      0.2457E-02
       2095.          0.4957E-02      0.2456E-02
       2100.          0.4956E-02      0.2455E-02
       2105.          0.4955E-02      0.2453E-02
       2110.          0.4954E-02      0.2452E-02
       2115.          0.4953E-02      0.2451E-02
       2120.          0.4952E-02      0.2450E-02
       2125.          0.4951E-02      0.2449E-02
       2130.          0.4950E-02      0.2447E-02
       2135.          0.4949E-02      0.2446E-02
       2140.          0.4948E-02      0.2445E-02
       2145.          0.4947E-02      0.2444E-02
       2150.          0.4946E-02      0.2443E-02
       2155.          0.4945E-02      0.2441E-02
       2160.          0.4944E-02      0.2440E-02
       2165.          0.4943E-02      0.2439E-02
       2170.          0.4942E-02      0.2438E-02
       2175.          0.4941E-02      0.2437E-02
       2180.          0.4940E-02      0.2436E-02
       2185.          0.4939E-02      0.2434E-02
       2190.          0.4938E-02      0.2433E-02
       2195.          0.4937E-02      0.2432E-02
       2200.          0.4936E-02      0.2431E-02
       2205.          0.4935E-02      0.2430E-02
       2210.          0.4934E-02      0.2428E-02
       2215.          0.4933E-02      0.2427E-02
       2220.          0.4932E-02      0.2426E-02
       2225.          0.4931E-02      0.2425E-02
       2230.          0.4930E-02      0.2424E-02
       2235.          0.4929E-02      0.2422E-02
       2240.          0.4928E-02      0.2421E-02
       2245.          0.4927E-02      0.2420E-02
       2250.          0.4926E-02      0.2419E-02
       2255.          0.4925E-02      0.2418E-02
       2260.          0.4924E-02      0.2417E-02
       2265.          0.4923E-02      0.2415E-02
       2270.          0.4922E-02      0.2414E-02
       2275.          0.4920E-02      0.2413E-02
       2280.          0.4919E-02      0.2412E-02
       2285.          0.4918E-02      0.2411E-02
       2290.          0.4917E-02      0.2409E-02
       2295.          0.4916E-02      0.2408E-02
       2300.          0.4915E-02      0.2407E-02
       2305.          0.4914E-02      0.2406E-02
       2310.          0.4913E-02      0.2405E-02
       2315.          0.4912E-02      0.2403E-02
       2320.          0.4911E-02      0.2402E-02
       2325.          0.4910E-02      0.2401E-02
