# ATLAS, arXiv:1809.06682, Sept. 2018, Fig. 6b
# 6682_Atlas_VBF_h-invisible_13TeV_36.1fb-1.txt
# Limit set on sigma(h,VBF) x BR(h->inv) in pb
# Mh	obs 	exp

       1435.          0.3785          0.3034    
       1440.          0.3781          0.3032    
       1445.          0.3777          0.3029    
       1450.          0.3774          0.3026    
       1455.          0.3770          0.3024    
       1460.          0.3766          0.3021    
       1465.          0.3763          0.3018    
       1470.          0.3759          0.3016    
       1475.          0.3755          0.3013    
       1480.          0.3752          0.3011    
       1485.          0.3748          0.3008    
       1490.          0.3744          0.3005    
       1495.          0.3741          0.3003    
       1500.          0.3737          0.3000    
       1505.          0.3733          0.2997    
       1510.          0.3729          0.2995    
       1515.          0.3726          0.2992    
       1520.          0.3722          0.2989    
       1525.          0.3718          0.2987    
       1530.          0.3715          0.2984    
       1535.          0.3711          0.2982    
       1540.          0.3707          0.2979    
       1545.          0.3704          0.2976    
       1550.          0.3700          0.2974    
       1555.          0.3696          0.2971    
       1560.          0.3693          0.2968    
       1565.          0.3689          0.2966    
       1570.          0.3685          0.2963    
       1575.          0.3682          0.2961    
       1580.          0.3678          0.2958    
       1585.          0.3674          0.2955    
       1590.          0.3671          0.2953    
       1595.          0.3667          0.2950    
       1600.          0.3663          0.2947    
       1605.          0.3659          0.2945    
       1610.          0.3656          0.2942    
       1615.          0.3652          0.2939    
       1620.          0.3648          0.2937    
       1625.          0.3645          0.2934    
       1630.          0.3641          0.2932    
       1635.          0.3637          0.2929    
       1640.          0.3634          0.2926    
       1645.          0.3630          0.2924    
       1650.          0.3626          0.2921    
       1655.          0.3623          0.2918    
       1660.          0.3619          0.2916    
       1665.          0.3615          0.2913    
       1670.          0.3612          0.2911    
       1675.          0.3608          0.2908    
       1680.          0.3604          0.2905    
       1685.          0.3601          0.2903    
       1690.          0.3597          0.2900    
       1695.          0.3593          0.2897    
       1700.          0.3589          0.2895    
       1705.          0.3586          0.2892    
       1710.          0.3582          0.2889    
       1715.          0.3578          0.2887    
       1720.          0.3575          0.2884    
       1725.          0.3571          0.2882    
       1730.          0.3567          0.2879    
       1735.          0.3564          0.2876    
       1740.          0.3560          0.2874    
       1745.          0.3556          0.2871    
       1750.          0.3553          0.2868    
       1755.          0.3549          0.2866    
       1760.          0.3545          0.2863    
       1765.          0.3542          0.2861    
       1770.          0.3538          0.2858    
       1775.          0.3534          0.2855    
       1780.          0.3531          0.2853    
       1785.          0.3527          0.2850    
       1790.          0.3523          0.2847    
       1795.          0.3519          0.2845    
       1800.          0.3516          0.2842    
       1805.          0.3512          0.2839    
       1810.          0.3508          0.2837    
       1815.          0.3505          0.2834    
       1820.          0.3501          0.2832    
       1825.          0.3497          0.2829    
       1830.          0.3494          0.2826    
       1835.          0.3490          0.2824    
       1840.          0.3486          0.2821    
       1845.          0.3483          0.2818    
       1850.          0.3479          0.2816    
       1855.          0.3475          0.2813    
       1860.          0.3472          0.2811    
       1865.          0.3468          0.2808    
       1870.          0.3464          0.2805    
       1875.          0.3461          0.2803    
       1880.          0.3457          0.2800    
       1885.          0.3453          0.2797    
       1890.          0.3449          0.2795    
       1895.          0.3446          0.2792    
       1900.          0.3442          0.2789    
       1905.          0.3438          0.2787    
       1910.          0.3435          0.2784    
       1915.          0.3431          0.2782    
       1920.          0.3427          0.2779    
       1925.          0.3424          0.2776    
       1930.          0.3420          0.2774    
       1935.          0.3416          0.2771    
       1940.          0.3413          0.2768    
       1945.          0.3409          0.2766    
       1950.          0.3405          0.2763    
       1955.          0.3402          0.2761    
       1960.          0.3398          0.2758    
       1965.          0.3394          0.2755    
       1970.          0.3391          0.2753    
       1975.          0.3387          0.2750    
       1980.          0.3383          0.2747    
       1985.          0.3379          0.2745    
       1990.          0.3376          0.2742    
       1995.          0.3372          0.2739    
       2000.          0.3368          0.2737    
       2005.          0.3369          0.2737    
       2010.          0.3370          0.2738    
       2015.          0.3371          0.2738    
       2020.          0.3372          0.2739    
       2025.          0.3373          0.2739    
       2030.          0.3374          0.2740    
       2035.          0.3375          0.2741    
       2040.          0.3375          0.2741    
       2045.          0.3376          0.2742    
       2050.          0.3377          0.2742    
       2055.          0.3378          0.2743    
       2060.          0.3379          0.2743    
       2065.          0.3380          0.2744    
       2070.          0.3381          0.2744    
       2075.          0.3382          0.2745    
       2080.          0.3382          0.2745    
       2085.          0.3383          0.2746    
       2090.          0.3384          0.2746    
       2095.          0.3385          0.2747    
       2100.          0.3386          0.2747    
       2105.          0.3387          0.2748    
       2110.          0.3388          0.2748    
       2115.          0.3389          0.2749    
       2120.          0.3389          0.2749    
       2125.          0.3390          0.2750    
       2130.          0.3391          0.2751    
       2135.          0.3392          0.2751    
       2140.          0.3393          0.2752    
       2145.          0.3394          0.2752    
       2150.          0.3395          0.2753    
       2155.          0.3396          0.2753    
       2160.          0.3396          0.2754    
       2165.          0.3397          0.2754    
       2170.          0.3398          0.2755    
       2175.          0.3399          0.2755    
       2180.          0.3400          0.2756    
       2185.          0.3401          0.2756    
       2190.          0.3402          0.2757    
       2195.          0.3403          0.2757    
       2200.          0.3404          0.2758    
       2205.          0.3404          0.2758    
       2210.          0.3405          0.2759    
       2215.          0.3406          0.2759    
       2220.          0.3407          0.2760    
       2225.          0.3408          0.2761    
       2230.          0.3409          0.2761    
       2235.          0.3410          0.2762    
       2240.          0.3411          0.2762    
       2245.          0.3411          0.2763    
       2250.          0.3412          0.2763    
       2255.          0.3413          0.2764    
       2260.          0.3414          0.2764    
       2265.          0.3415          0.2765    
       2270.          0.3416          0.2765    
       2275.          0.3417          0.2766    
       2280.          0.3418          0.2766    
       2285.          0.3418          0.2767    
       2290.          0.3419          0.2767    
       2295.          0.3420          0.2768    
       2300.          0.3421          0.2768    
       2305.          0.3422          0.2769    
       2310.          0.3423          0.2769    
       2315.          0.3424          0.2770    
       2320.          0.3425          0.2771    
       2325.          0.3425          0.2771    
       2330.          0.3426          0.2772    
       2335.          0.3427          0.2772    
       2340.          0.3428          0.2773    
       2345.          0.3429          0.2773    
       2350.          0.3430          0.2774    
       2355.          0.3431          0.2774    
       2360.          0.3432          0.2775    
       2365.          0.3432          0.2775    
       2370.          0.3433          0.2776    
       2375.          0.3434          0.2776    
       2380.          0.3435          0.2777    
       2385.          0.3436          0.2777    
       2390.          0.3437          0.2778    
       2395.          0.3438          0.2778    
       2400.          0.3439          0.2779    
       2405.          0.3439          0.2779    
       2410.          0.3440          0.2780    
       2415.          0.3441          0.2781    
       2420.          0.3442          0.2781    
       2425.          0.3443          0.2782    
       2430.          0.3444          0.2782    
       2435.          0.3445          0.2783    
       2440.          0.3446          0.2783    
       2445.          0.3446          0.2784    
       2450.          0.3447          0.2784    
       2455.          0.3448          0.2785    
       2460.          0.3449          0.2785    
       2465.          0.3450          0.2786    
       2470.          0.3451          0.2786    
       2475.          0.3452          0.2787    
       2480.          0.3453          0.2787    
       2485.          0.3454          0.2788    
       2490.          0.3454          0.2788    
       2495.          0.3455          0.2789    
       2500.          0.3456          0.2789    
       2505.          0.3457          0.2790    
       2510.          0.3458          0.2791    
       2515.          0.3459          0.2791    
       2520.          0.3460          0.2792    
       2525.          0.3461          0.2792    
       2530.          0.3461          0.2793    
       2535.          0.3462          0.2793    
       2540.          0.3463          0.2794    
       2545.          0.3464          0.2794    
       2550.          0.3465          0.2795    
       2555.          0.3466          0.2795    
       2560.          0.3467          0.2796    
       2565.          0.3468          0.2796    
       2570.          0.3468          0.2797    
       2575.          0.3469          0.2797    
       2580.          0.3470          0.2798    
       2585.          0.3471          0.2798    
       2590.          0.3472          0.2799    
       2595.          0.3473          0.2799    
       2600.          0.3474          0.2800    
       2605.          0.3475          0.2801    
       2610.          0.3475          0.2801    
