# CMS, CMS-PAS-HIG-17-033, March 2019
# 170331_CMS_gg_VBF-H-WW_13TeV_35.9fb-1.txt
# Limit is set on sigma(pp->H (ggF+VBF)) x BR(H->WW) in pb.
# MH     obs     exp

       2430.          0.4642E-02      0.4524E-02
       2435.          0.4625E-02      0.4507E-02
       2440.          0.4608E-02      0.4489E-02
       2445.          0.4591E-02      0.4472E-02
       2450.          0.4574E-02      0.4455E-02
       2455.          0.4557E-02      0.4438E-02
       2460.          0.4540E-02      0.4421E-02
       2465.          0.4523E-02      0.4404E-02
       2470.          0.4506E-02      0.4387E-02
       2475.          0.4489E-02      0.4369E-02
       2480.          0.4472E-02      0.4352E-02
       2485.          0.4455E-02      0.4335E-02
       2490.          0.4438E-02      0.4318E-02
       2495.          0.4421E-02      0.4301E-02
       2500.          0.4404E-02      0.4284E-02
       2505.          0.4387E-02      0.4266E-02
       2510.          0.4370E-02      0.4249E-02
       2515.          0.4353E-02      0.4232E-02
       2520.          0.4336E-02      0.4215E-02
       2525.          0.4319E-02      0.4198E-02
       2530.          0.4302E-02      0.4181E-02
       2535.          0.4285E-02      0.4163E-02
       2540.          0.4268E-02      0.4146E-02
       2545.          0.4250E-02      0.4129E-02
       2550.          0.4233E-02      0.4112E-02
       2555.          0.4216E-02      0.4095E-02
       2560.          0.4199E-02      0.4078E-02
       2565.          0.4182E-02      0.4060E-02
       2570.          0.4165E-02      0.4043E-02
       2575.          0.4148E-02      0.4026E-02
       2580.          0.4131E-02      0.4009E-02
       2585.          0.4114E-02      0.3992E-02
       2590.          0.4097E-02      0.3975E-02
       2595.          0.4080E-02      0.3957E-02
       2600.          0.4063E-02      0.3940E-02
       2605.          0.4046E-02      0.3923E-02
       2610.          0.4029E-02      0.3906E-02
       2615.          0.4012E-02      0.3889E-02
       2620.          0.3995E-02      0.3872E-02
       2625.          0.3978E-02      0.3854E-02
       2630.          0.3961E-02      0.3837E-02
       2635.          0.3944E-02      0.3820E-02
       2640.          0.3927E-02      0.3803E-02
       2645.          0.3910E-02      0.3786E-02
       2650.          0.3893E-02      0.3769E-02
       2655.          0.3876E-02      0.3751E-02
       2660.          0.3859E-02      0.3734E-02
       2665.          0.3842E-02      0.3717E-02
       2670.          0.3825E-02      0.3700E-02
       2675.          0.3808E-02      0.3683E-02
       2680.          0.3791E-02      0.3666E-02
       2685.          0.3774E-02      0.3649E-02
       2690.          0.3757E-02      0.3631E-02
       2695.          0.3740E-02      0.3614E-02
       2700.          0.3723E-02      0.3597E-02
       2705.          0.3706E-02      0.3580E-02
       2710.          0.3689E-02      0.3563E-02
       2715.          0.3672E-02      0.3546E-02
       2720.          0.3655E-02      0.3528E-02
       2725.          0.3638E-02      0.3511E-02
       2730.          0.3621E-02      0.3494E-02
       2735.          0.3604E-02      0.3477E-02
       2740.          0.3587E-02      0.3460E-02
       2745.          0.3570E-02      0.3443E-02
       2750.          0.3553E-02      0.3425E-02
       2755.          0.3536E-02      0.3408E-02
       2760.          0.3519E-02      0.3391E-02
       2765.          0.3502E-02      0.3374E-02
       2770.          0.3485E-02      0.3357E-02
       2775.          0.3467E-02      0.3340E-02
       2780.          0.3450E-02      0.3322E-02
       2785.          0.3433E-02      0.3305E-02
       2790.          0.3416E-02      0.3288E-02
       2795.          0.3399E-02      0.3271E-02
       2800.          0.3382E-02      0.3254E-02
       2805.          0.3365E-02      0.3237E-02
       2810.          0.3348E-02      0.3219E-02
       2815.          0.3331E-02      0.3202E-02
       2820.          0.3314E-02      0.3185E-02
       2825.          0.3297E-02      0.3168E-02
       2830.          0.3280E-02      0.3151E-02
       2835.          0.3263E-02      0.3134E-02
       2840.          0.3246E-02      0.3116E-02
       2845.          0.3229E-02      0.3099E-02
       2850.          0.3212E-02      0.3082E-02
       2855.          0.3195E-02      0.3065E-02
       2860.          0.3178E-02      0.3048E-02
       2865.          0.3161E-02      0.3031E-02
       2870.          0.3144E-02      0.3014E-02
       2875.          0.3127E-02      0.2996E-02
       2880.          0.3110E-02      0.2979E-02
       2885.          0.3093E-02      0.2962E-02
       2890.          0.3076E-02      0.2945E-02
       2895.          0.3059E-02      0.2928E-02
       2900.          0.3042E-02      0.2911E-02
       2905.          0.3025E-02      0.2893E-02
       2910.          0.3008E-02      0.2876E-02
       2915.          0.2991E-02      0.2859E-02
       2920.          0.2974E-02      0.2842E-02
       2925.          0.2957E-02      0.2825E-02
       2930.          0.2940E-02      0.2808E-02
       2935.          0.2923E-02      0.2790E-02
       2940.          0.2906E-02      0.2773E-02
       2945.          0.2889E-02      0.2756E-02
       2950.          0.2872E-02      0.2739E-02
       2955.          0.2855E-02      0.2722E-02
       2960.          0.2838E-02      0.2705E-02
       2965.          0.2821E-02      0.2687E-02
       2970.          0.2804E-02      0.2670E-02
       2975.          0.2787E-02      0.2653E-02
       2980.          0.2770E-02      0.2636E-02
       2985.          0.2753E-02      0.2619E-02
       2990.          0.2736E-02      0.2602E-02
       2995.          0.2719E-02      0.2584E-02
       3000.          0.2702E-02      0.2567E-02
