# CMS, CMS-PAS-HIG-18-005, Fig. 5b
# 180052_CMS_bb-A-Zh-Zbb_13TeV_35.9fb-1.txt
# Limit is set on sigma(bb->A) x BR(A->Zh) x BR(h->bb) in pb
# MA	obs		exp

       501.0          0.8246E-01      0.8053E-01
       502.0          0.8281E-01      0.8004E-01
       503.0          0.8317E-01      0.7954E-01
       504.0          0.8352E-01      0.7905E-01
       505.0          0.8387E-01      0.7856E-01
       506.0          0.8422E-01      0.7806E-01
       507.0          0.8457E-01      0.7757E-01
       508.0          0.8493E-01      0.7707E-01
       509.0          0.8528E-01      0.7658E-01
       510.0          0.8563E-01      0.7609E-01
       511.0          0.8598E-01      0.7559E-01
       512.0          0.8633E-01      0.7510E-01
       513.0          0.8669E-01      0.7461E-01
       514.0          0.8704E-01      0.7425E-01
       515.0          0.8739E-01      0.7389E-01
       516.0          0.8774E-01      0.7354E-01
       517.0          0.8810E-01      0.7318E-01
       518.0          0.8845E-01      0.7283E-01
       519.0          0.8880E-01      0.7247E-01
       520.0          0.8915E-01      0.7211E-01
       521.0          0.8950E-01      0.7176E-01
       522.0          0.8986E-01      0.7140E-01
       523.0          0.9021E-01      0.7105E-01
       524.0          0.9056E-01      0.7069E-01
       525.0          0.8892E-01      0.7033E-01
       526.0          0.8729E-01      0.6998E-01
       527.0          0.8565E-01      0.6962E-01
       528.0          0.8402E-01      0.6927E-01
       529.0          0.8238E-01      0.6891E-01
       530.0          0.8075E-01      0.6855E-01
       531.0          0.7911E-01      0.6820E-01
       532.0          0.7747E-01      0.6784E-01
       533.0          0.7584E-01      0.6749E-01
       534.0          0.7420E-01      0.6713E-01
       535.0          0.7257E-01      0.6677E-01
       536.0          0.7093E-01      0.6642E-01
       537.0          0.6929E-01      0.6599E-01
       538.0          0.6766E-01      0.6557E-01
       539.0          0.6602E-01      0.6514E-01
       540.0          0.6439E-01      0.6472E-01
       541.0          0.6275E-01      0.6429E-01
       542.0          0.6111E-01      0.6387E-01
       543.0          0.5948E-01      0.6344E-01
       544.0          0.5784E-01      0.6302E-01
       545.0          0.5621E-01      0.6259E-01
       546.0          0.5457E-01      0.6216E-01
       547.0          0.5293E-01      0.6174E-01
       548.0          0.5130E-01      0.6131E-01
       549.0          0.4966E-01      0.6089E-01
       550.0          0.4927E-01      0.6046E-01
       551.0          0.4888E-01      0.6004E-01
       552.0          0.4850E-01      0.5961E-01
       553.0          0.4811E-01      0.5919E-01
       554.0          0.4772E-01      0.5876E-01
       555.0          0.4733E-01      0.5834E-01
       556.0          0.4694E-01      0.5791E-01
       557.0          0.4655E-01      0.5749E-01
       558.0          0.4616E-01      0.5706E-01
       559.0          0.4577E-01      0.5664E-01
       560.0          0.4538E-01      0.5621E-01
       561.0          0.4499E-01      0.5579E-01
       562.0          0.4460E-01      0.5547E-01
       563.0          0.4422E-01      0.5515E-01
       564.0          0.4383E-01      0.5483E-01
       565.0          0.4344E-01      0.5452E-01
       566.0          0.4305E-01      0.5420E-01
       567.0          0.4266E-01      0.5388E-01
       568.0          0.4227E-01      0.5356E-01
       569.0          0.4188E-01      0.5324E-01
       570.0          0.4149E-01      0.5293E-01
       571.0          0.4110E-01      0.5261E-01
       572.0          0.4071E-01      0.5229E-01
       573.0          0.4032E-01      0.5197E-01
       574.0          0.4035E-01      0.5165E-01
       575.0          0.4038E-01      0.5134E-01
       576.0          0.4041E-01      0.5102E-01
       577.0          0.4044E-01      0.5070E-01
       578.0          0.4048E-01      0.5038E-01
       579.0          0.4051E-01      0.5006E-01
       580.0          0.4054E-01      0.4975E-01
       581.0          0.4057E-01      0.4943E-01
       582.0          0.4060E-01      0.4911E-01
       583.0          0.4063E-01      0.4879E-01
       584.0          0.4066E-01      0.4847E-01
       585.0          0.4069E-01      0.4828E-01
       586.0          0.4072E-01      0.4809E-01
       587.0          0.4075E-01      0.4790E-01
       588.0          0.4078E-01      0.4770E-01
       589.0          0.4081E-01      0.4751E-01
       590.0          0.4084E-01      0.4732E-01
       591.0          0.4087E-01      0.4713E-01
       592.0          0.4090E-01      0.4693E-01
       593.0          0.4093E-01      0.4674E-01
       594.0          0.4096E-01      0.4655E-01
       595.0          0.4099E-01      0.4636E-01
       596.0          0.4102E-01      0.4616E-01
       597.0          0.4105E-01      0.4597E-01
       598.0          0.4108E-01      0.4578E-01
       599.0          0.4111E-01      0.4559E-01
       600.0          0.4097E-01      0.4539E-01
       601.0          0.4082E-01      0.4520E-01
       602.0          0.4068E-01      0.4501E-01
       603.0          0.4053E-01      0.4482E-01
       604.0          0.4039E-01      0.4462E-01
       605.0          0.4024E-01      0.4443E-01
       606.0          0.4010E-01      0.4424E-01
       607.0          0.3996E-01      0.4405E-01
       608.0          0.3981E-01      0.4385E-01
       609.0          0.3967E-01      0.4366E-01
       610.0          0.3952E-01      0.4347E-01
       611.0          0.3938E-01      0.4328E-01
       612.0          0.3923E-01      0.4308E-01
       613.0          0.3909E-01      0.4289E-01
       614.0          0.3894E-01      0.4270E-01
       615.0          0.3880E-01      0.4251E-01
       616.0          0.3865E-01      0.4231E-01
       617.0          0.3851E-01      0.4212E-01
       618.0          0.3836E-01      0.4193E-01
       619.0          0.3822E-01      0.4174E-01
       620.0          0.3808E-01      0.4155E-01
       621.0          0.3793E-01      0.4136E-01
       622.0          0.3779E-01      0.4117E-01
       623.0          0.3764E-01      0.4098E-01
       624.0          0.3750E-01      0.4078E-01
       625.0          0.3749E-01      0.4059E-01
       626.0          0.3748E-01      0.4040E-01
       627.0          0.3747E-01      0.4021E-01
       628.0          0.3747E-01      0.4002E-01
       629.0          0.3746E-01      0.3983E-01
       630.0          0.3745E-01      0.3964E-01
       631.0          0.3744E-01      0.3945E-01
       632.0          0.3743E-01      0.3926E-01
       633.0          0.3743E-01      0.3907E-01
       634.0          0.3742E-01      0.3888E-01
       635.0          0.3741E-01      0.3869E-01
       636.0          0.3740E-01      0.3849E-01
       637.0          0.3739E-01      0.3830E-01
       638.0          0.3739E-01      0.3811E-01
       639.0          0.3738E-01      0.3792E-01
       640.0          0.3737E-01      0.3773E-01
       641.0          0.3736E-01      0.3754E-01
       642.0          0.3736E-01      0.3735E-01
       643.0          0.3735E-01      0.3716E-01
       644.0          0.3734E-01      0.3697E-01
       645.0          0.3733E-01      0.3678E-01
       646.0          0.3732E-01      0.3678E-01
       647.0          0.3732E-01      0.3678E-01
       648.0          0.3741E-01      0.3678E-01
       649.0          0.3751E-01      0.3678E-01
       650.0          0.3761E-01      0.3678E-01
       651.0          0.3770E-01      0.3678E-01
       652.0          0.3780E-01      0.3678E-01
       653.0          0.3790E-01      0.3678E-01
       654.0          0.3799E-01      0.3678E-01
       655.0          0.3809E-01      0.3678E-01
       656.0          0.3819E-01      0.3678E-01
       657.0          0.3829E-01      0.3678E-01
       658.0          0.3838E-01      0.3678E-01
       659.0          0.3848E-01      0.3678E-01
       660.0          0.3858E-01      0.3678E-01
       661.0          0.3867E-01      0.3678E-01
       662.0          0.3877E-01      0.3678E-01
       663.0          0.3887E-01      0.3678E-01
       664.0          0.3896E-01      0.3678E-01
       665.0          0.3906E-01      0.3678E-01
       666.0          0.3916E-01      0.3678E-01
       667.0          0.3926E-01      0.3678E-01
       668.0          0.3935E-01      0.3678E-01
       669.0          0.3945E-01      0.3678E-01
       670.0          0.3955E-01      0.3678E-01
       671.0          0.3964E-01      0.3678E-01
       672.0          0.3974E-01      0.3657E-01
       673.0          0.3984E-01      0.3636E-01
       674.0          0.3993E-01      0.3616E-01
       675.0          0.4035E-01      0.3595E-01
       676.0          0.4077E-01      0.3574E-01
       677.0          0.4118E-01      0.3554E-01
       678.0          0.4160E-01      0.3533E-01
       679.0          0.4201E-01      0.3512E-01
       680.0          0.4243E-01      0.3492E-01
       681.0          0.4284E-01      0.3471E-01
       682.0          0.4326E-01      0.3451E-01
       683.0          0.4367E-01      0.3430E-01
       684.0          0.4409E-01      0.3409E-01
       685.0          0.4450E-01      0.3389E-01
       686.0          0.4492E-01      0.3368E-01
       687.0          0.4533E-01      0.3347E-01
       688.0          0.4575E-01      0.3327E-01
       689.0          0.4617E-01      0.3306E-01
       690.0          0.4658E-01      0.3287E-01
       691.0          0.4700E-01      0.3267E-01
       692.0          0.4741E-01      0.3248E-01
       693.0          0.4783E-01      0.3229E-01
       694.0          0.4824E-01      0.3209E-01
       695.0          0.4866E-01      0.3190E-01
       696.0          0.4907E-01      0.3171E-01
       697.0          0.4949E-01      0.3151E-01
       698.0          0.4990E-01      0.3132E-01
       699.0          0.5003E-01      0.3113E-01
       700.0          0.5015E-01      0.3093E-01
       701.0          0.5028E-01      0.3074E-01
       702.0          0.5040E-01      0.3070E-01
       703.0          0.5053E-01      0.3065E-01
       704.0          0.5065E-01      0.3060E-01
       705.0          0.5078E-01      0.3056E-01
       706.0          0.5090E-01      0.3051E-01
       707.0          0.5103E-01      0.3046E-01
       708.0          0.5115E-01      0.3042E-01
       709.0          0.5128E-01      0.3037E-01
       710.0          0.5140E-01      0.3032E-01
       711.0          0.5153E-01      0.3028E-01
       712.0          0.5165E-01      0.3023E-01
       713.0          0.5178E-01      0.3018E-01
       714.0          0.5190E-01      0.3014E-01
       715.0          0.5203E-01      0.3009E-01
       716.0          0.5215E-01      0.3004E-01
       717.0          0.5228E-01      0.3000E-01
       718.0          0.5240E-01      0.2995E-01
       719.0          0.5252E-01      0.2990E-01
       720.0          0.5265E-01      0.2986E-01
       721.0          0.5277E-01      0.2981E-01
       722.0          0.5290E-01      0.2976E-01
       723.0          0.5302E-01      0.2972E-01
       724.0          0.5315E-01      0.2965E-01
       725.0          0.5297E-01      0.2958E-01
       726.0          0.5279E-01      0.2952E-01
       727.0          0.5262E-01      0.2945E-01
       728.0          0.5244E-01      0.2938E-01
       729.0          0.5226E-01      0.2931E-01
       730.0          0.5208E-01      0.2925E-01
       731.0          0.5191E-01      0.2918E-01
       732.0          0.5173E-01      0.2911E-01
       733.0          0.5155E-01      0.2904E-01
       734.0          0.5137E-01      0.2898E-01
       735.0          0.5120E-01      0.2891E-01
       736.0          0.5102E-01      0.2884E-01
       737.0          0.5084E-01      0.2878E-01
       738.0          0.5066E-01      0.2871E-01
       739.0          0.5049E-01      0.2864E-01
       740.0          0.5031E-01      0.2857E-01
       741.0          0.5013E-01      0.2851E-01
       742.0          0.4995E-01      0.2844E-01
       743.0          0.4978E-01      0.2837E-01
       744.0          0.4960E-01      0.2831E-01
       745.0          0.4942E-01      0.2824E-01
       746.0          0.4924E-01      0.2817E-01
       747.0          0.4907E-01      0.2810E-01
       748.0          0.4889E-01      0.2804E-01
       749.0          0.4871E-01      0.2797E-01
       750.0          0.4819E-01      0.2790E-01
       751.0          0.4767E-01      0.2779E-01
       752.0          0.4716E-01      0.2768E-01
       753.0          0.4664E-01      0.2757E-01
       754.0          0.4612E-01      0.2746E-01
       755.0          0.4560E-01      0.2735E-01
       756.0          0.4509E-01      0.2724E-01
       757.0          0.4457E-01      0.2713E-01
       758.0          0.4405E-01      0.2702E-01
       759.0          0.4353E-01      0.2691E-01
       760.0          0.4302E-01      0.2680E-01
       761.0          0.4250E-01      0.2669E-01
       762.0          0.4198E-01      0.2658E-01
       763.0          0.4146E-01      0.2647E-01
       764.0          0.4095E-01      0.2636E-01
       765.0          0.4043E-01      0.2625E-01
       766.0          0.3991E-01      0.2614E-01
       767.0          0.3939E-01      0.2603E-01
       768.0          0.3888E-01      0.2592E-01
       769.0          0.3836E-01      0.2581E-01
       770.0          0.3784E-01      0.2570E-01
       771.0          0.3732E-01      0.2557E-01
       772.0          0.3680E-01      0.2543E-01
       773.0          0.3629E-01      0.2530E-01
       774.0          0.3577E-01      0.2517E-01
       775.0          0.3525E-01      0.2504E-01
       776.0          0.3473E-01      0.2491E-01
       777.0          0.3422E-01      0.2477E-01
       778.0          0.3370E-01      0.2464E-01
       779.0          0.3318E-01      0.2451E-01
       780.0          0.3266E-01      0.2438E-01
       781.0          0.3215E-01      0.2425E-01
       782.0          0.3163E-01      0.2412E-01
       783.0          0.3111E-01      0.2398E-01
       784.0          0.3059E-01      0.2385E-01
       785.0          0.3008E-01      0.2372E-01
       786.0          0.2956E-01      0.2359E-01
       787.0          0.2904E-01      0.2346E-01
       788.0          0.2852E-01      0.2332E-01
       789.0          0.2801E-01      0.2319E-01
       790.0          0.2749E-01      0.2306E-01
       791.0          0.2697E-01      0.2293E-01
