# CMS, CMS-PAS-HIG-18-005, Fig. 5a
# 180051_CMS_gg-A-Zh-Zbb_13TeV_35.9fb-1.txt
# Limit is set on sigma(gg->A) x BR(A->Zh) x BR(h->bb) in pb
# MA	obs		exp

       533.0          0.6687E-01      0.5611E-01
       534.0          0.6536E-01      0.5579E-01
       535.0          0.6386E-01      0.5546E-01
       536.0          0.6236E-01      0.5513E-01
       537.0          0.6085E-01      0.5481E-01
       538.0          0.5935E-01      0.5448E-01
       539.0          0.5785E-01      0.5415E-01
       540.0          0.5634E-01      0.5383E-01
       541.0          0.5484E-01      0.5347E-01
       542.0          0.5334E-01      0.5312E-01
       543.0          0.5183E-01      0.5277E-01
       544.0          0.5033E-01      0.5242E-01
       545.0          0.4883E-01      0.5206E-01
       546.0          0.4732E-01      0.5171E-01
       547.0          0.4582E-01      0.5136E-01
       548.0          0.4432E-01      0.5101E-01
       549.0          0.4281E-01      0.5065E-01
       550.0          0.4245E-01      0.5030E-01
       551.0          0.4209E-01      0.4995E-01
       552.0          0.4173E-01      0.4959E-01
       553.0          0.4136E-01      0.4924E-01
       554.0          0.4100E-01      0.4889E-01
       555.0          0.4064E-01      0.4854E-01
       556.0          0.4028E-01      0.4818E-01
       557.0          0.3992E-01      0.4783E-01
       558.0          0.3955E-01      0.4748E-01
       559.0          0.3919E-01      0.4713E-01
       560.0          0.3883E-01      0.4677E-01
       561.0          0.3847E-01      0.4642E-01
       562.0          0.3811E-01      0.4607E-01
       563.0          0.3774E-01      0.4572E-01
       564.0          0.3738E-01      0.4537E-01
       565.0          0.3702E-01      0.4501E-01
       566.0          0.3666E-01      0.4466E-01
       567.0          0.3629E-01      0.4431E-01
       568.0          0.3593E-01      0.4396E-01
       569.0          0.3557E-01      0.4361E-01
       570.0          0.3521E-01      0.4325E-01
       571.0          0.3485E-01      0.4290E-01
       572.0          0.3448E-01      0.4255E-01
       573.0          0.3412E-01      0.4220E-01
       574.0          0.3376E-01      0.4184E-01
       575.0          0.3379E-01      0.4166E-01
       576.0          0.3381E-01      0.4148E-01
       577.0          0.3384E-01      0.4130E-01
       578.0          0.3387E-01      0.4112E-01
       579.0          0.3389E-01      0.4094E-01
       580.0          0.3392E-01      0.4075E-01
       581.0          0.3395E-01      0.4057E-01
       582.0          0.3397E-01      0.4039E-01
       583.0          0.3400E-01      0.4021E-01
       584.0          0.3402E-01      0.4003E-01
       585.0          0.3405E-01      0.3985E-01
       586.0          0.3408E-01      0.3966E-01
       587.0          0.3410E-01      0.3948E-01
       588.0          0.3413E-01      0.3935E-01
       589.0          0.3416E-01      0.3922E-01
       590.0          0.3418E-01      0.3909E-01
       591.0          0.3421E-01      0.3896E-01
       592.0          0.3424E-01      0.3882E-01
       593.0          0.3426E-01      0.3869E-01
       594.0          0.3429E-01      0.3856E-01
       595.0          0.3432E-01      0.3843E-01
       596.0          0.3434E-01      0.3830E-01
       597.0          0.3437E-01      0.3817E-01
       598.0          0.3439E-01      0.3799E-01
       599.0          0.3442E-01      0.3781E-01
       600.0          0.3428E-01      0.3764E-01
       601.0          0.3414E-01      0.3746E-01
       602.0          0.3400E-01      0.3728E-01
       603.0          0.3386E-01      0.3711E-01
       604.0          0.3372E-01      0.3693E-01
       605.0          0.3359E-01      0.3675E-01
       606.0          0.3345E-01      0.3658E-01
       607.0          0.3331E-01      0.3640E-01
       608.0          0.3317E-01      0.3622E-01
       609.0          0.3303E-01      0.3605E-01
       610.0          0.3289E-01      0.3587E-01
       611.0          0.3275E-01      0.3569E-01
       612.0          0.3261E-01      0.3552E-01
       613.0          0.3247E-01      0.3534E-01
       614.0          0.3233E-01      0.3516E-01
       615.0          0.3219E-01      0.3499E-01
       616.0          0.3205E-01      0.3481E-01
       617.0          0.3191E-01      0.3463E-01
       618.0          0.3177E-01      0.3446E-01
       619.0          0.3164E-01      0.3428E-01
       620.0          0.3150E-01      0.3410E-01
       621.0          0.3136E-01      0.3393E-01
       622.0          0.3122E-01      0.3375E-01
       623.0          0.3108E-01      0.3357E-01
       624.0          0.3094E-01      0.3340E-01
       625.0          0.3092E-01      0.3322E-01
       626.0          0.3090E-01      0.3304E-01
       627.0          0.3089E-01      0.3287E-01
       628.0          0.3087E-01      0.3269E-01
       629.0          0.3085E-01      0.3255E-01
       630.0          0.3083E-01      0.3241E-01
       631.0          0.3081E-01      0.3228E-01
       632.0          0.3080E-01      0.3214E-01
       633.0          0.3078E-01      0.3200E-01
       634.0          0.3076E-01      0.3187E-01
       635.0          0.3074E-01      0.3173E-01
       636.0          0.3072E-01      0.3159E-01
       637.0          0.3071E-01      0.3145E-01
