m_h	m_H	m_A	tb	xs_gg_h	xs_gg_H	xs_gg_A	xs_bb_h	xs_bb_H	xs_bb_A	br_h_tautau	br_H_tautau	br_A_tautau
79.6062	133.113	90.0	4.0	20.580854	18.701464	11.958638	13.846443	0.36949813	10.116158	0.101128	0.0803895	0.102631
82.2469	130.693	90.0	5.0	24.534124	19.803867	16.413504	19.41492	0.4649325	15.564627	0.103706	0.087794	0.104298
83.9169	129.198	90.0	6.0	30.532593	20.649466	23.005753	26.112127	0.5333389	22.05037	0.106034	0.0928799	0.106049
85.0245	128.221	90.0	7.0	38.17978	21.269575	31.173645	33.870537	0.57956964	29.516039	0.108237	0.0968691	0.107863
85.7909	127.554	90.0	8.0	47.22793	21.722397	40.654587	42.62118	0.608419	37.907314	0.110375	0.100308	0.109722
86.3409	127.08	90.0	9.0	57.506065	22.05354	51.286915	52.305267	0.62414885	47.172745	0.112482	0.103448	0.11162
86.7479	126.735	90.0	10.0	68.89035	22.296394	62.960304	62.866467	0.63102335	57.263584	0.114574	0.106417	0.113548
87.7653	125.903	90.0	15.0	139.50412	22.81344	134.4136	127.11925	0.59633774	118.56331	0.125073	0.120196	0.123565
88.1454	125.628	90.0	20.0	227.82101	22.859478	222.98865	206.73042	0.5241774	194.49704	0.135845	0.132841	0.134093
88.3288	125.519	90.0	25.0	328.9506	22.75664	323.9191	297.6423	0.4505563	281.2408	0.146969	0.143461	0.145075
88.432	125.477	90.0	30.0	439.4068	22.59513	433.64755	396.7491	0.38326675	375.83807	0.158458	0.150176	0.156485
88.4957	125.466	90.0	35.0	556.57556	22.405474	549.44446	501.65237	0.32440683	475.99228	0.17031	0.150241	0.168307
88.5375	125.47	90.0	40.0	678.45044	22.199957	669.1978	610.49384	0.27403334	579.91455	0.182517	0.13984	0.180526
88.5656	125.482	90.0	45.0	803.47	21.984928	791.2677	721.83136	0.23149426	686.2087	0.195068	0.0968985	0.193128
88.5851	125.493	90.0	50.0	930.44196	21.76846	914.3789	834.5242	0.1959044	793.7839	0.207967	0.0366625	0.206097
88.5961	125.514	90.0	55.0	1058.2295	21.543715	1037.5446	947.77765	0.16638988	901.7886	0.22115	0.00203584	0.219417
88.6	125.543	90.0	60.0	1186.0522	21.317583	1159.9987	1060.9506	0.14201663	1009.5592	0.234607	0.0179768	0.23307
68.7014	253.755	95.0	0.5	3.4266317	19.300238	319.23746	1.8895924	8.307521e-06	0.09830043	0.094262	3.02576e-07	0.0215337
77.7084	201.091	95.0	0.7	4.6808147	21.0709	161.09937	1.532231	0.0011053769	0.23355415	0.0958068	7.26639e-06	0.0522648
73.8599	178.641	95.0	0.8999999999999999	11.395213	19.552807	95.893875	2.0368924	0.008417379	0.41282758	0.09384	0.000334167	0.0758976
71.7784	172.212	95.0	1.0	14.533682	18.549538	76.94892	2.3749318	0.014544437	0.51886576	0.0930551	0.000676706	0.0831198
71.1691	147.68	95.0	2.0	20.727089	15.457662	17.72615	5.380593	0.12233725	2.1690884	0.0946886	0.0396648	0.100049
78.5332	138.91	95.0	3.0	17.432861	16.50497	9.36484	8.06065	0.2759969	4.852878	0.09872	0.070136	0.102046
83.3386	134.305	95.0	4.0	17.379108	17.900751	9.411944	11.655428	0.43472776	8.514253	0.101893	0.0839784	0.103645
86.2901	131.628	95.0	5.0	19.721527	19.19138	12.571806	16.255383	0.5710305	13.099514	0.104532	0.0919774	0.105329
88.1764	129.945	95.0	6.0	23.79751	20.183168	17.498636	21.81752	0.67615443	18.55771	0.106896	0.0973745	0.107096
89.438	128.83	95.0	7.0	29.242481	20.937101	23.694721	28.286304	0.7536636	24.840586	0.109118	0.101746	0.108924
90.3162	128.06	95.0	8.0	35.83506	21.502586	30.926538	35.60379	0.8071908	31.902424	0.111266	0.105705	0.1108
