mh   ctt_Z   cbb_Z   cvv_Z   ctv_Z   cbv_Z   ctb_Z
38  0.0153196589  0.000631012557  8.85832259  -0.0383003389  -0.002246332557  0.000324220243  8.83405081024
39  0.0152326586  0.000616077327  8.41946513  -0.0393826586  -0.002046257327  0.000331393273  8.39421634327
40  0.0151569025  0.000601702992  8.01609135  -0.0403500225  -0.002172372992  0.000336809808  7.98966436981
41  0.0151051951  0.000588012292  7.62310389  -0.0415062451  -0.002218582292  0.000318649808  7.59539091981
42  0.0150265446  0.00057458211  7.25764371  -0.0426245346  -0.00208001211  0.00033559459  7.22887588459
43  0.0150015738  0.000561472396  6.92474713  -0.0428457038  -0.001831272396  0.000308551904  6.8959417519
44  0.0149316512  0.000548980778  6.59679346  -0.0437521112  -0.002009440778  0.000314513122  6.56682705312
45  0.0148760879  0.000536765054  6.30248043  -0.0445846179  -0.001991265054  0.000301313046  6.27161871305
46  0.0148479503  0.000524995501  6.01218516  -0.0454716603  -0.001963705501  0.000299376499  5.9804221165
47  0.0147730656  0.00051357231  5.74404335  -0.0461593256  -0.00192142231  0.00030616079  5.71155540079
48  0.0147339209  0.000502656335  5.48892124  -0.0467970209  -0.001890226335  0.000289565565  5.45576013556
49  0.0146898783  0.000491690242  5.25065472  -0.0472526483  -0.001837000242  0.000288497658  5.21703513766
50  0.0146374653  0.00048128206  5.02124354  -0.0479742753  -0.00180090206  0.00027965194  4.98686676194
51  0.0145934547  0.000470832759  4.80303653  -0.0486330347  -0.001648412759  0.000286433441  4.76810580344
52  0.0145465936  0.000461313539  4.60137523  -0.0488310136  -0.001680693539  0.000279679161  4.56615110916
53  0.0145180497  0.000451616584  4.40711412  -0.0497673297  -0.001726366584  0.000272581216  4.37086267122
54  0.0144246128  0.000441873097  4.23291248  -0.0499467128  -0.001800273097  0.000280051503  4.1963120315
55  0.0144320001  0.000433050961  4.05972278  -0.0507126701  -0.001711150961  0.000268969139  4.02243297914
56  0.0143761171  0.000423949866  3.89356916  -0.0511384171  -0.001645949866  0.000294765534  3.85587962553
57  0.0143680489  0.000415698008  3.73508171  -0.0511590889  -0.001683898008  0.000257498392  3.69727996839
58  0.0143252174  0.000407310935  3.59418999  -0.0516518574  -0.001559150935  0.000258223465  3.55596973347
59  0.0142610332  0.000399048782  3.45130964  -0.0519787232  -0.001537288782  0.000258083118  3.41271179312
60  0.0142441626  0.000391242873  3.31694532  -0.0524627626  -0.001539512873  0.000265092927  3.27784354293
61  0.0142111468  0.000383608095  3.18716163  -0.0524561368  -0.001529378095  0.000253970905  3.1480248409
62  0.01418268  0.000376165176  3.06809912  -0.05269693  -0.001476065176  0.000248012824  3.02873298282
