mHc	x_tt	x_tb	x_bb
485.0	0.36526496870095326	-2.2907156628499486e-07	9.616297707432212e-05
490.0	0.3534689687654856	-3.3708197596800287e-07	9.306824397362228e-05
495.0	0.341672968830018	-4.450923856510109e-07	8.997351087292243e-05
500.0	0.3298769688945504	-5.531027953340189e-07	8.687877777222258e-05
505.0	0.3207120706528014	-5.329647192355087e-07	8.444264818971955e-05
510.0	0.31154717241105234	-5.128266431369983e-07	8.200651860721654e-05
515.0	0.3023822741693033	-4.926885670384881e-07	7.957038902471351e-05
520.0	0.29321737592755426	-4.7255049093997783e-07	7.713425944221048e-05
525.0	0.2840524776858052	-4.5241241484146755e-07	7.469812985970746e-05
530.0	0.2748875794440562	-4.3227433874295727e-07	7.226200027720444e-05
535.0	0.26572268120230713	-4.12136262644447e-07	6.982587069470141e-05
540.0	0.2565577829605581	-3.9199818654593677e-07	6.738974111219839e-05
545.0	0.24739288471880908	-3.7186011044742644e-07	6.495361152969537e-05
550.0	0.23822798647706003	-3.517220343489162e-07	6.251748194719234e-05
555.0	0.23188768833762144	-2.9958661969017395e-07	6.0834775104671535e-05
560.0	0.22554739019818282	-2.474512050314317e-07	5.915206826215072e-05
565.0	0.21920709205874422	-1.9531579037268945e-07	5.74693614196299e-05
570.0	0.21286679391930563	-1.431803757139472e-07	5.578665457710909e-05
575.0	0.20652649577986704	-9.104496105520495e-08	5.4103947734588284e-05
580.0	0.20018619764042841	-3.890954639646268e-08	5.242124089206747e-05
585.0	0.19384589950098982	1.322586826227953e-08	5.073853404954665e-05
590.0	0.18750560136155123	6.53612829210218e-08	4.905582720702584e-05
595.0	0.1811653032221126	1.1749669757976406e-07	4.7373120364505033e-05
600.0	0.174825005082674	1.6963211223850632e-07	4.569041352198422e-05
605.0	0.1703056051508181	1.7457152938303256e-07	4.4497745414695536e-05
610.0	0.16578620521896217	1.795109465275588e-07	4.330507730740686e-05
615.0	0.16126680528710627	1.8445036367208505e-07	4.211240920011818e-05
620.0	0.15674740535525034	1.8938978081661128e-07	4.0919741092829505e-05
625.0	0.15222800542339443	1.9432919796113752e-07	3.972707298554082e-05
630.0	0.14770860549153852	1.9926861510566375e-07	3.853440487825215e-05
635.0	0.1431892055596826	2.0420803225018998e-07	3.7341736770963467e-05
640.0	0.1386698056278267	2.0914744939471624e-07	3.6149068663674785e-05
645.0	0.13415040569597075	2.1408686653924248e-07	3.495640055638611e-05
650.0	0.12963100576411485	2.190262836837687e-07	3.376373244909743e-05
655.0	0.1263524644612729	1.8348235772725516e-07	3.290980191559069e-05
660.0	0.12307392315843095	1.479384317707416e-07	3.205587138208395e-05
665.0	0.119795381855589	1.1239450581422805e-07	3.120194084857721e-05
670.0	0.11651684055274704	7.68505798577145e-08	3.0348010315070468e-05
675.0	0.11323829924990508	4.130665390120094e-08	2.949407978156373e-05
680.0	0.10995975794706314	5.762727944687388e-09	2.864014924805699e-05
685.0	0.10668121664422119	-2.9781198011826166e-08	2.778621871455025e-05
690.0	0.10340267534137923	-6.532512396833972e-08	2.693228818104351e-05
695.0	0.10012413403853729	-1.0086904992485327e-07	2.6078357647536773e-05
700.0	0.09684559273569533	-1.3641297588136683e-07	2.522442711403003e-05
705.0	0.09450271313284143	-1.2410688198205652e-07	2.4606305174563867e-05
710.0	0.09215983352998755	-1.1180078808274622e-07	2.3988183235097703e-05
715.0	0.08981695392713365	-9.949469418343591e-08	2.337006129563154e-05
720.0	0.08747407432427977	-8.718860028412561e-08	2.2751939356165375e-05
725.0	0.08513119472142587	-7.48825063848153e-08	2.213381741669921e-05
730.0	0.08278831511857197	-6.2576412485505e-08	2.1515695477233048e-05
735.0	0.08044543551571809	-5.02703185861947e-08	2.0897573537766887e-05
740.0	0.07810255591286419	-3.796422468688439e-08	2.0279451598300723e-05
745.0	0.0757596763100103	-2.5658130787574092e-08	1.966132965883456e-05
750.0	0.07341679670715641	-1.3352036888263782e-08	1.9043207719368396e-05
755.0	0.0716727777634983	-4.4663417234951205e-09	1.858358158593389e-05
